Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,34776,-,-,-,59.25,-154.62,-9,699,-9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Dew Point,DHI,DNI,GHI,Relative Humidity,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,7,30,-25.7,1,-25.7,0,0,0,100,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,8,30,-26,1,-26,0,0,0,100,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,9,30,-26.2,1,-26.2,0,0,0,100,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,10,30,-26.2,1,-26.2,0,0,0,100,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,11,30,-26,7,-26,30,110,39,100,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,12,30,-25.4,0,-25.4,29,675,114,100,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,13,30,-25,0,-25,30,698,127,100,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,14,30,-24.9,0,-24.9,28,660,106,100,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,15,30,-25.3,1,-25.3,20,535,58,100,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,16,30,-25.9,0,-25.9,0,0,0,100,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,17,30,-26.5,1,-26.5,0,0,0,100,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,18,30,-27.2,1,-27.2,0,0,0,100,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,19,30,-27.8,1,-27.8,0,0,0,100,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,20,30,-28.3,1,-28.3,0,0,0,100,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,21,30,-28.7,0,-28.7,0,0,0,100,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,22,30,-29.1,1,-29.1,0,0,0,100,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,2,23,30,-29.4,1,-29.4,0,0,0,100,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,0,30,-29.6,1,-29.6,0,0,0,100,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,1,30,-29.7,1,-29.7,0,0,0,100,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,2,30,-29.8,0,-29.8,0,0,0,100,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,3,30,-29.9,1,-29.9,0,0,0,100,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,4,30,-30,1,-30,0,0,0,100,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,5,30,-30.1,1,-30.1,0,0,0,100,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,6,30,-30.2,1,-30.2,0,0,0,100,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,7,30,-30.1,1,-30.1,0,0,0,100,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,8,30,-29.8,0,-29.8,0,0,0,100,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,9,30,-29.8,7,-29.8,0,0,0,100,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,10,30,-30.1,7,-30.1,4,0,4,100,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,11,30,-30.2,7,-30.2,30,168,44,100,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,12,30,-30.1,1,-30.1,28,707,119,100,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,13,30,-30,1,-30,30,730,133,100,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,14,30,-30,0,-30,27,692,111,100,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,15,30,-30.4,1,-30.4,20,570,61,100,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,16,30,-30.8,7,-30.8,0,0,0,100,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,17,30,-31.2,1,-31.2,0,0,0,100,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,18,30,-31.6,7,-31.6,0,0,0,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,19,30,-31.8,1,-31.8,0,0,0,100,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,20,30,-32,1,-32,0,0,0,100,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,21,30,-32.1,1,-32.1,0,0,0,100,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,22,30,-32.1,1,-32.1,0,0,0,100,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,3,23,30,-32.1,7,-32.1,0,0,0,100,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,0,30,-32.2,1,-32.2,0,0,0,100,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,1,30,-32.3,7,-32.3,0,0,0,100,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,4,2,30,-32.5,7,-32.5,0,0,0,100,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
