Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,34776,-,-,-,59.25,-154.62,-9,699,-9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Dew Point,DHI,DNI,GHI,Relative Humidity,Wind Speed
2006,1,1,0,30,-2.1,7,-2.1,0,0,0,100,4.3
2006,1,1,1,30,-2,7,-2,0,0,0,100,4.2
2006,1,1,2,30,-2,7,-2,0,0,0,100,4.1000000000000005
2006,1,1,3,30,-2,7,-2,0,0,0,100,4.2
2006,1,1,4,30,-1.9000000000000001,8,-1.9000000000000001,0,0,0,100,4.1000000000000005
2006,1,1,5,30,-1.8,7,-1.8,0,0,0,100,4.1000000000000005
2006,1,1,6,30,-1.6,7,-1.6,0,0,0,100,4.3
2006,1,1,7,30,-1.6,7,-1.6,0,0,0,100,4.2
2006,1,1,8,30,-1.8,7,-1.8,0,0,0,100,4.2
2006,1,1,9,30,-1.9000000000000001,7,-1.9000000000000001,0,0,0,100,4.2
2006,1,1,10,30,-1.9000000000000001,7,-1.9000000000000001,0,0,0,100,4.2
2006,1,1,11,30,-1.9000000000000001,7,-1.9000000000000001,20,0,20,100,4.3
2006,1,1,12,30,-1.8,7,-1.8,39,0,39,100,4.4
2006,1,1,13,30,-1.9000000000000001,6,-1.9000000000000001,29,0,29,100,4.4
2006,1,1,14,30,-2,6,-2,21,0,21,100,4.3
2006,1,1,15,30,-2.3000000000000003,7,-2.3000000000000003,20,0,20,100,4.3
