climate,voll,mean0,mean9,worst0,worst9,cost0,cost9,cost_premium_pct,mean_reduction_pct,worst_reduction_pct
Alaska,High,575.966956,315.741288,1181.98142,1088.39422,26894.202159999997,28488.390480000002,5.927628231972815,45.18065928768317,7.917823276782143
Alaska,Low,5453.72172,5159.230165333333,6393.630053333332,6106.078266666667,9462.71712,9469.29292,0.06949166837189047,5.399827306675742,4.497473020303222
Alaska,Med,2925.9737333333333,2613.2148533333334,3831.276266666665,3760.396666666666,17500.700999999997,17570.59116,0.3993563457829641,10.689052893297779,1.8500258155924265
Arizona,High,24.883012,13.201832,34.72682,20.39894,3019.03972,3078.20772,1.959828471551206,46.944397245799664,41.25883107062494
Arizona,Low,258.20964000000004,189.98796,324.876,304.8054,2462.41124,2476.27876,0.5631683195208348,26.421042994366918,6.1779263472832575
Arizona,Med,77.71937333333332,60.214546666666664,103.3774666666667,96.89573333333333,2726.5303200000008,2737.8344399999996,0.4145972600076986,22.523118645835705,6.269967278491428
California,High,23.3984172,10.940894933333334,45.329124,25.8201,2648.0170399999997,2679.3608000000004,1.1836691201957183,53.240875911327315,43.038608026045246
California,Low,241.6665613333333,199.70864933333334,331.7665733333334,267.53144,2034.4531599999998,2060.63108,1.2867300419932226,17.361902188084255,19.36154468123433
California,Med,75.84247066666666,45.66296333333333,121.7328466666666,81.49198266666666,2335.8855999999996,2376.9237200000002,1.7568548733722489,39.792357854446124,33.05670170532442
Florida,High,13.611135999999998,7.513258666666667,40.4603,18.41136,2300.77416,2360.8853200000003,2.6126493006162876,44.80064950738375,54.49524595714812
Florida,Low,147.27610133333332,67.68540133333333,375.8595866666666,237.1221266666667,2043.39696,2087.2728,2.147201002002075,54.04182978734653,36.91204506193427
Florida,Med,36.7841052,17.167462933333336,109.5228,47.56980000000001,2179.1553599999997,2193.31232,0.6496535428295536,53.32912724125926,56.56630400245428
Minnesota,High,107.955884,50.960048000000015,166.72028,78.33612000000001,7797.83624,8114.57748,4.061911923402994,52.79548820145828,53.013442635772925
Minnesota,Low,1362.4545933333334,1131.6026399999998,1551.78,1444.2986,5098.38764,5126.18984,0.5453135768232809,16.943827299854398,6.926329763239625
Minnesota,Med,380.1630266666666,301.7338266666667,493.1163333333333,398.5566000000001,6446.435280000001,6473.47448,0.41944421723876246,20.630412349059913,19.175948339438463
