quantity,climate,location,n_years,median,mean,std,cv,min,max
pv,Polar (AK),Alaska,25,808.4665056140202,805.569007628351,93.83882413594222,0.11648762954797627,637.3770530528354,1006.990436947219
pv,Continental (MN),Minnesota,25,1480.002235531093,1488.0728083137076,42.27681080069885,0.02841044508340097,1413.842615566204,1573.506386530835
pv,Marine (CA),California,25,1713.420240378927,1702.1169897305433,99.2660622999737,0.05831917717693905,1470.008428551225,1937.641725741084
pv,Arid (AZ),Arizona,25,1977.671308601862,1976.1514234650929,29.480345331962354,0.014918059912772216,1921.54380535382,2040.178736938615
pv,Tropical (FL),Florida,25,1755.182243176944,1755.0013670271032,46.93839836987822,0.026745505303730814,1635.951264662552,1828.971375451884
heating,Polar (AK),Alaska,25,35399.28779517193,35547.37103808892,3879.253744272662,0.10912913194385182,27907.43730958288,43156.23733655891
heating,Continental (MN),Minnesota,25,25369.12124000533,25225.576904098456,1826.992292651897,0.0724261847250384,22207.30783800522,28949.14051358519
heating,Marine (CA),California,25,8077.44447285051,7832.910449271287,989.2744347895882,0.1262971715553856,5508.636050563186,9429.193836482471
heating,Arid (AZ),Arizona,25,8277.112310438766,8403.87927019176,958.5451148467627,0.11405983879928949,6699.284905186782,10045.01927202996
heating,Tropical (FL),Florida,25,198.6789515570177,241.79483454699664,181.44683154656164,0.7504164920913337,100.2071994177383,1050.174201206651
cooling,Polar (AK),Alaska,25,109.5559755276112,109.73818252225489,76.4270550485098,0.696449068973877,23.65564828765022,392.8054909906421
cooling,Continental (MN),Minnesota,25,2885.074185631851,2937.3043859850095,379.5651592617614,0.12922227640853645,2285.646716133476,3616.646785771336
cooling,Marine (CA),California,25,1229.484822408216,1298.3858007411936,318.6718549869996,0.24543695318069814,941.2282912909438,2185.700373722947
cooling,Arid (AZ),Arizona,25,10657.27419605088,10612.75828827278,516.5233961469332,0.04867004242598246,9546.607443497078,11761.23404799809
cooling,Tropical (FL),Florida,25,14220.33734924675,14874.233953659847,1608.9115499865811,0.10816769152610403,12864.76070896654,19011.66448710239
