Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,777900,-,-,-,44.97,-93.26,-6,256,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Cloud Type,Dew Point,DHI,DNI,GHI,Relative Humidity,Wind Speed
2013,1,1,0,30,-21.8,0,-24.5,0,0,0,78.65,1.3
2013,1,1,1,30,-21.8,0,-24.3,0,0,0,80.12,1.2000000000000002
2013,1,1,2,30,-22.3,0,-24.400000000000002,0,0,0,83,1.3
2013,1,1,3,30,-23,1,-24.6,0,0,0,86.45,1.6
2013,1,1,4,30,-23.700000000000003,1,-25.1,0,0,0,88.06,1.7000000000000002
2013,1,1,5,30,-23.8,0,-25.3,0,0,0,87.42,1.6
2013,1,1,6,30,-23.400000000000002,0,-25.200000000000003,0,0,0,85.07000000000001,1.5
2013,1,1,7,30,-22.8,1,-25,0,0,0,82.01,1.3
2013,1,1,8,30,-21.400000000000002,1,-24.6,26,506,69,75.07000000000001,1.1
2013,1,1,9,30,-18.5,0,-23.200000000000003,48,745,206,66.67,1.2000000000000002
2013,1,1,10,30,-15.4,4,-20,125,78,149,67.8,1.7000000000000002
2013,1,1,11,30,-13.100000000000001,4,-17.900000000000002,136,335,257,67.33,2.2
2013,1,1,12,30,-11.200000000000001,4,-15.9,147,33,160,68.11,2.5
2013,1,1,13,30,-10,4,-14.3,140,217,214,70.61,2.7
2013,1,1,14,30,-9.5,4,-13.100000000000001,41,0,41,74.87,2.7
2013,1,1,15,30,-9.700000000000001,1,-12.4,47,574,139,80.95,2.3000000000000003
2013,1,1,16,30,-10.3,0,-12.5,14,173,18,83.63,2.1
2013,1,1,17,30,-10.600000000000001,4,-12.9,0,0,0,83.44,2.1
2013,1,1,18,30,-10.8,4,-12.700000000000001,0,0,0,86.06,2.2
2013,1,1,19,30,-11,4,-12.600000000000001,0,0,0,87.98,2.2
2013,1,1,20,30,-11.200000000000001,4,-12.600000000000001,0,0,0,89.60000000000001,2.2
2013,1,1,21,30,-11.5,4,-12.700000000000001,0,0,0,91.05,2.1
2013,1,1,22,30,-11.8,4,-13.100000000000001,0,0,0,90.34,2.1
2013,1,1,23,30,-11.8,4,-13.3,0,0,0,88.69,2.1
2013,1,2,0,30,-11.5,4,-13.100000000000001,0,0,0,87.67,2
2013,1,2,1,30,-11.4,4,-13,0,0,0,87.85000000000001,1.9000000000000001
2013,1,2,2,30,-11.4,4,-13,0,0,0,87.76,1.9000000000000001
2013,1,2,3,30,-11.3,4,-13,0,0,0,87.17,2
2013,1,2,4,30,-11.4,4,-13.100000000000001,0,0,0,87.49,2
2013,1,2,5,30,-11.5,4,-13.200000000000001,0,0,0,87.13,1.9000000000000001
2013,1,2,6,30,-11.700000000000001,4,-13.5,0,0,0,86.83,1.9000000000000001
2013,1,2,7,30,-11.700000000000001,4,-13.700000000000001,0,0,0,85.26,2
2013,1,2,8,30,-11.100000000000001,1,-13.5,29,426,65,82.13,2.3000000000000003
2013,1,2,9,30,-10.200000000000001,4,-12.600000000000001,82,100,103,82.75,2.6
2013,1,2,10,30,-9.3,4,-11.8,126,97,156,81.98,2.5
2013,1,2,11,30,-8.5,4,-10.9,146,43,161,82.52,2.2
2013,1,2,12,30,-8,4,-10.3,158,78,187,83.59,1.9000000000000001
2013,1,2,13,30,-7.9,4,-9.9,117,0,117,85.34,1.5
2013,1,2,14,30,-7.9,4,-9.9,101,17,106,85.77,1.2000000000000002
2013,1,2,15,30,-8.5,4,-9.9,24,0,24,89.94,0.9
2013,1,2,16,30,-9.3,7,-10.700000000000001,10,0,10,89.71000000000001,0.9
2013,1,2,17,30,-9.8,4,-11.5,0,0,0,87.49,1.1
2013,1,2,18,30,-10.8,4,-12.100000000000001,0,0,0,90.36,1.3
2013,1,2,19,30,-11.200000000000001,4,-12.5,0,0,0,90.35000000000001,1.4000000000000001
2013,1,2,20,30,-11.200000000000001,4,-12.600000000000001,0,0,0,89.59,1.6
2013,1,2,21,30,-11,4,-12.4,0,0,0,89.13,1.8
2013,1,2,22,30,-10.5,4,-12.3,0,0,0,86.52,2.2
2013,1,2,23,30,-10,4,-11.8,0,0,0,86.47,2.7
2013,1,3,0,30,-10.100000000000001,4,-11.700000000000001,0,0,0,88.26,2.9000000000000004
2013,1,3,1,30,-11,4,-12.5,0,0,0,88.37,3
2013,1,3,2,30,-11.700000000000001,4,-13.8,0,0,0,84.54,3.1
