Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,323705,-,-,-,33.45,-112.06,-7,334,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Speed,Dew Point,Cloud Type
2009,1,1,0,30,8.4,0,0,0,56.53,1.6,0.30000000000000004,0
2009,1,1,1,30,7.800000000000001,0,0,0,58.36,1.7000000000000002,0.1,0
2009,1,1,2,30,7.300000000000001,0,0,0,59.660000000000004,1.7000000000000002,0,0
2009,1,1,3,30,6.800000000000001,0,0,0,60.730000000000004,1.7000000000000002,-0.30000000000000004,0
2009,1,1,4,30,6.4,0,0,0,61.27,1.7000000000000002,-0.5,0
2009,1,1,5,30,6.1000000000000005,0,0,0,61.36,1.7000000000000002,-0.8,0
2009,1,1,6,30,5.9,0,0,0,61.01,1.7000000000000002,-1.1,0
2009,1,1,7,30,7.4,0,0,0,54.4,1.8,-1.2000000000000002,0
2009,1,1,8,30,11,41,601,140,47.25,2.4000000000000004,0.2,0
2009,1,1,9,30,14.600000000000001,59,804,320,35.44,2.4000000000000004,-0.5,0
2009,1,1,10,30,17.7,69,895,470,29.57,1.7000000000000002,-0.30000000000000004,0
2009,1,1,11,30,20,78,927,565,25.09,0.9,-0.6000000000000001,0
2009,1,1,12,30,21.3,79,943,601,22.400000000000002,0.9,-1,0
2009,1,1,13,30,21.8,76,928,568,21.63,1.3,-1.1,0
2009,1,1,14,30,21.5,74,879,473,22.02,1.4000000000000001,-1.1,0
2009,1,1,15,30,19.900000000000002,63,794,328,25.05,1,-0.7000000000000001,0
2009,1,1,16,30,18.6,44,602,150,41.17,0.7000000000000001,5.1000000000000005,0
2009,1,1,17,30,15.4,0,0,0,40.01,0.8,1.9000000000000001,0
2009,1,1,18,30,14.5,0,0,0,38.99,0.9,0.7000000000000001,0
2009,1,1,19,30,13.3,0,0,0,41.35,1.1,0.4,0
2009,1,1,20,30,11.8,0,0,0,45.730000000000004,1.3,0.5,0
2009,1,1,21,30,10.600000000000001,0,0,0,49.160000000000004,1.4000000000000001,0.4,0
2009,1,1,22,30,9.8,0,0,0,50.92,1.5,0.1,1
2009,1,1,23,30,9,0,0,0,52.78,1.5,-0.1,0
2009,1,2,0,30,8.200000000000001,0,0,0,54.79,1.5,-0.4,0
2009,1,2,1,30,7.5,0,0,0,56.27,1.4000000000000001,-0.7000000000000001,0
2009,1,2,2,30,7,0,0,0,56.71,1.4000000000000001,-1,0
