Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,323705,-,-,-,33.45,-112.06,-7,334,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Speed,Dew Point,Cloud Type
2003,1,1,0,30,7.7,0,0,0,40.84,0.9,-4.800000000000001,0
2003,1,1,1,30,6.800000000000001,0,0,0,44.35,1,-4.5,0
2003,1,1,2,30,5.800000000000001,0,0,0,49.230000000000004,1.2000000000000002,-4,0
2003,1,1,3,30,4.9,0,0,0,54.61,1.4000000000000001,-3.5,0
2003,1,1,4,30,4.3,0,0,0,59.08,2,-3,0
2003,1,1,5,30,3.8000000000000003,0,0,0,63.83,2.4000000000000004,-2.4000000000000004,0
2003,1,1,6,30,3.5,0,0,0,67.08,2.6,-2,0
2003,1,1,7,30,4.4,0,0,0,64.08,3.2,-1.8,0
2003,1,1,8,30,6.9,61,149,85,55.800000000000004,3.6,-1.3,3
2003,1,1,9,30,10.600000000000001,59,811,322,44.25,3.6,-1.1,0
2003,1,1,10,30,14.4,69,900,471,31.580000000000002,3.3000000000000003,-2.3000000000000003,0
2003,1,1,11,30,16.900000000000002,80,927,566,24.27,2.3000000000000003,-3.7,0
2003,1,1,12,30,18.2,83,935,600,20.28,1.6,-5,0
2003,1,1,13,30,19,80,927,570,17.93,1.4000000000000001,-5.9,0
2003,1,1,14,30,19.200000000000003,68,906,479,16.81,1.3,-6.6000000000000005,0
2003,1,1,15,30,18,58,825,333,17.76,1,-6.9,0
2003,1,1,16,30,16.900000000000002,42,637,154,29.95,0.7000000000000001,-0.8,0
2003,1,1,17,30,11.9,0,0,0,33.65,1.3,-3.6,0
2003,1,1,18,30,9.600000000000001,0,0,0,39.12,1.6,-3.7,0
2003,1,1,19,30,8.3,0,0,0,41.12,1.8,-4.2,0
2003,1,1,20,30,7.4,0,0,0,42.34,2.1,-4.6000000000000005,1
2003,1,1,21,30,6.7,0,0,0,44.15,2.4000000000000004,-4.7,1
2003,1,1,22,30,6.2,0,0,0,45.69,2.8000000000000003,-4.7,0
2003,1,1,23,30,6,0,0,0,46.37,3,-4.7,1
2003,1,2,0,30,5.800000000000001,0,0,0,47.01,3.1,-4.7,1
2003,1,2,1,30,5.7,0,0,0,47.21,3.2,-4.7,0
2003,1,2,2,30,5.6000000000000005,0,0,0,47.56,3.4000000000000004,-4.7,0
