Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,323705,-,-,-,33.45,-112.06,-7,334,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Speed,Dew Point,Cloud Type
1998,1,1,0,30,9.700000000000001,0,0,0,54.980000000000004,2.1,1.1,4
1998,1,1,1,30,9.200000000000001,0,0,0,56.19,2.2,0.9,7
1998,1,1,2,30,8.700000000000001,0,0,0,57.75,2.4000000000000004,0.8,4
1998,1,1,3,30,8.3,0,0,0,59.08,2.4000000000000004,0.8,4
1998,1,1,4,30,7.9,0,0,0,60.300000000000004,2.4000000000000004,0.7000000000000001,4
1998,1,1,5,30,7.7,0,0,0,60.43,2.4000000000000004,0.5,0
1998,1,1,6,30,7.5,0,0,0,60.43,2.4000000000000004,0.30000000000000004,0
1998,1,1,7,30,9,0,0,0,53.9,2.6,0.2,0
1998,1,1,8,30,12.4,38,593,136,45.13,3.1,0.8,0
1998,1,1,9,30,16.1,55,787,310,35.33,3.5,0.8,0
1998,1,1,10,30,19.3,64,875,456,29.47,3.3000000000000003,1,0
1998,1,1,11,30,21.6,70,914,550,26.14,2.7,1.3,0
1998,1,1,12,30,23.1,72,926,584,24.04,2.1,1.4000000000000001,0
1998,1,1,13,30,23.900000000000002,70,915,554,22.92,1.6,1.5,0
1998,1,1,14,30,23.900000000000002,65,876,463,22.95,1.3,1.5,0
1998,1,1,15,30,22.6,56,798,322,25.3,0.9,1.7000000000000002,0
1998,1,1,16,30,21.5,40,616,148,36.49,0.7000000000000001,6,1
1998,1,1,17,30,18.8,0,0,0,34.86,0.8,3,0
1998,1,1,18,30,17.6,0,0,0,35.83,1,2.3000000000000003,0
1998,1,1,19,30,16,0,0,0,39.5,1.2000000000000002,2.2,0
1998,1,1,20,30,14.200000000000001,0,0,0,44.4,1.4000000000000001,2.2,0
1998,1,1,21,30,12.8,0,0,0,48.36,1.5,2.2,0
1998,1,1,22,30,11.8,0,0,0,51.39,1.6,2.1,0
1998,1,1,23,30,11.200000000000001,0,0,0,52.94,1.8,2,0
1998,1,2,0,30,10.9,0,0,0,53.300000000000004,2,1.8,0
1998,1,2,1,30,10.600000000000001,0,0,0,53.620000000000005,2,1.6,7
1998,1,2,2,30,10.5,0,0,0,53,2,1.3,0
1998,1,2,3,30,10.600000000000001,0,0,0,52.14,2,1.2000000000000002,4
1998,1,2,4,30,10.5,0,0,0,52.22,2.1,1.1,4
1998,1,2,5,30,10.100000000000001,0,0,0,52.870000000000005,2.2,0.9,4
1998,1,2,6,30,9.8,0,0,0,53.6,2.2,0.8,4
1998,1,2,7,30,11,0,0,0,49.69,2.1,0.9,4
1998,1,2,8,30,13.9,17,0,17,44.56,2.3000000000000003,2,4
1998,1,2,9,30,17,74,0,74,35.83,2.4000000000000004,1.7000000000000002,4
1998,1,2,10,30,19.6,188,278,312,31.94,2.4000000000000004,2.4000000000000004,4
1998,1,2,11,30,21.6,243,154,324,30.38,2.6,3.5,4
1998,1,2,12,30,22.8,192,513,477,30.2,2.9000000000000004,4.4,8
1998,1,2,13,30,23.200000000000003,84,872,547,31.3,3.1,5.300000000000001,0
