climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Arizona,High,0.5,0.95,0,1,inner_val,7.303,19.045,41.798,3.41,3101.474800000001,2792.594,30.888080000000002,0.0,30.888080000000002
Arizona,High,0.5,0.95,0,2,inner_val,7.461,19.046,43.927,3.41,2972.9594,2826.911,14.60484,0.0,14.60484
Arizona,High,0.5,0.95,0,3,inner_val,7.633,19.062,46.008,3.41,2950.0026000000003,2863.068,8.693460000000002,0.0,8.693460000000002
Arizona,High,0.5,0.95,0,4,inner_val,7.344,19.52,50.981,5.516,3103.0096000000003,2900.406,20.26036,0.0,20.26036
Arizona,High,0.5,0.95,0,-1,outer_test,7.357,19.026,44.84,3.41,3051.429,2820.945,23.0484,0.0,23.0484
Arizona,High,0.5,0.95,1,0,inner_val,7.303,19.045,41.798,3.41,3051.6894,2792.594,25.909540000000003,0.0,25.909540000000003
Arizona,High,0.5,0.95,1,2,inner_val,7.525,18.74,42.394,3.41,2974.8572,2811.004,16.38532,0.0,16.38532
Arizona,High,0.5,0.95,1,3,inner_val,7.691,18.832,42.623,3.41,2939.2490000000003,2835.501,10.3748,0.0,10.3748
Arizona,High,0.5,0.95,1,4,inner_val,6.891,18.622,56.925,4.753,3106.6128000000003,2852.152,25.446080000000002,0.0,25.446080000000002
Arizona,High,0.5,0.95,1,-1,outer_test,7.525,18.677,42.981,3.41,3107.7321999999995,2812.977,29.47552,0.0,29.47552
Arizona,High,0.5,0.95,2,0,inner_val,7.461,19.046,43.927,3.41,3053.6942,2826.911,22.678320000000003,0.0,22.678320000000003
Arizona,High,0.5,0.95,2,1,inner_val,7.525,18.74,42.394,3.41,3108.9566,2811.004,29.795259999999995,0.0,29.795259999999995
Arizona,High,0.5,0.95,2,3,inner_val,7.641,18.974,46.021,3.41,2948.9758,2860.695,8.82808,0.0,8.82808
Arizona,High,0.5,0.95,2,4,inner_val,7.349,19.519,51.06,5.516,3103.5486,2901.54,20.20086,0.0,20.20086
Arizona,High,0.5,0.95,2,-1,outer_test,7.523,18.861,44.839,3.41,2975.3294,2833.794,14.153540000000001,0.0,14.153540000000001
Arizona,High,0.5,0.95,3,0,inner_val,7.633,19.062,46.008,3.41,3062.2986,2863.068,19.92306,0.0,19.92306
Arizona,High,0.5,0.95,3,1,inner_val,7.691,18.832,42.623,3.41,3111.5316000000003,2835.501,27.60306,0.0,27.60306
Arizona,High,0.5,0.95,3,2,inner_val,7.641,18.974,46.021,3.41,2982.1418000000003,2860.695,12.144679999999997,0.0,12.144679999999997
Arizona,High,0.5,0.95,3,4,inner_val,7.428,19.509,52.383,5.516,3112.3946,2920.233,19.21616,0.0,19.21616
Arizona,High,0.5,0.95,3,-1,outer_test,7.643,18.88,46.275,3.41,2948.5894,2859.204,8.93854,0.0,8.93854
Arizona,High,0.5,0.95,4,0,inner_val,7.344,19.52,50.981,5.516,3075.8462,2900.406,17.54402,0.0,17.54402
Arizona,High,0.5,0.95,4,1,inner_val,6.891,18.622,56.925,4.753,3091.1438,2852.152,23.89918,0.0,23.89918
Arizona,High,0.5,0.95,4,2,inner_val,7.349,19.519,51.06,5.516,2991.2466,2901.54,8.97066,0.0,8.97066
Arizona,High,0.5,0.95,4,3,inner_val,7.428,19.509,52.383,5.516,2988.8320000000003,2920.233,6.8599000000000006,0.0,6.8599000000000006
Arizona,High,0.5,0.95,4,-1,outer_test,7.344,19.52,50.981,5.516,3103.0096000000003,2900.406,20.26036,0.0,20.26036
