climate,voll,lambda,alpha,outer,inner,stage,PV_Size,Battery_Size,PCM_Heating_Size,PCM_Cooling_Size,total_cost,capital_cost,thermal_unmet_kwh,electric_unmet_kwh,total_unmet_kwh
Florida,Med,0.5,0.8,0,1,inner_val,5.382,5.78,0.0,51.992,2121.9018,2108.878,4.341266666666667,0.0,4.341266666666667
Florida,Med,0.5,0.8,0,2,inner_val,5.478,5.592,0.0,53.239,2186.263,2122.098,21.388333333333332,0.0,21.388333333333332
Florida,Med,0.5,0.8,0,3,inner_val,5.369,5.576,0.0,52.363,2158.8174,2102.281,12.345533333333334,0.195,12.540533333333334
Florida,Med,0.5,0.8,0,4,inner_val,5.239,6.295,0.0,48.011,2267.5758,2082.32,61.751933333333334,0.0,61.751933333333334
Florida,Med,0.5,0.8,0,-1,outer_test,5.382,5.665,0.0,52.117,2136.2222,2105.376,10.282066666666667,0.0,10.282066666666667
Florida,Med,0.5,0.8,1,0,inner_val,5.382,5.78,0.0,51.992,2138.6946,2108.878,9.938866666666668,0.0,9.938866666666668
Florida,Med,0.5,0.8,1,2,inner_val,5.493,5.581,0.0,53.266,2187.5396,2123.613,21.308866666666663,0.0,21.308866666666663
Florida,Med,0.5,0.8,1,3,inner_val,5.372,5.576,0.0,52.362,2158.8455999999996,2102.621,12.28773333333333,0.19361399999999995,12.48134733333333
Florida,Med,0.5,0.8,1,4,inner_val,5.25,6.293,0.0,48.222,2264.8368,2085.101,59.91193333333334,0.0,59.91193333333334
Florida,Med,0.5,0.8,1,-1,outer_test,5.383,5.663,0.0,52.119,2119.4791999999993,2105.43,4.683066666666668,0.0,4.683066666666668
Florida,Med,0.5,0.8,2,0,inner_val,5.478,5.592,0.0,53.239,2150.0256,2122.098,9.3092,0.0,9.3092
Florida,Med,0.5,0.8,2,1,inner_val,5.493,5.581,0.0,53.266,2135.6458,2123.613,4.010933333333333,0.0,4.010933333333333
Florida,Med,0.5,0.8,2,3,inner_val,5.478,5.592,0.0,52.765,2163.1501999999996,2118.54,9.986733333333332,0.1465,10.133233333333331
Florida,Med,0.5,0.8,2,4,inner_val,5.179,6.726,0.0,46.933,2280.7038000000002,2083.921,65.59426666666667,0.0,65.59426666666667
Florida,Med,0.5,0.8,2,-1,outer_test,5.398,5.652,0.0,51.966,2174.3394,2105.594,22.91513333333333,0.0,22.91513333333333
Florida,Med,0.5,0.8,3,0,inner_val,5.369,5.576,0.0,52.363,2133.9798,2102.281,10.56626666666667,0.0,10.56626666666667
Florida,Med,0.5,0.8,3,1,inner_val,5.372,5.576,0.0,52.362,2117.3426000000004,2102.621,4.9072000000000005,0.0,4.9072000000000005
Florida,Med,0.5,0.8,3,2,inner_val,5.478,5.592,0.0,52.765,2183.8536,2118.54,21.771199999999997,0.0,21.771199999999997
Florida,Med,0.5,0.8,3,4,inner_val,5.027,5.587,0.0,48.327,2317.197,2032.8030000000003,93.02026666666666,0.053334,93.07360066666666
Florida,Med,0.5,0.8,3,-1,outer_test,5.373,5.671,0.0,51.925,2156.1494000000002,2103.125,12.478066666666669,0.155902,12.633968666666668
Florida,Med,0.5,0.8,4,0,inner_val,5.239,6.295,0.0,48.011,2121.0578,2082.32,12.9126,0.0,12.9126
Florida,Med,0.5,0.8,4,1,inner_val,5.25,6.293,0.0,48.222,2104.0074,2085.101,6.302133333333333,0.0,6.302133333333333
Florida,Med,0.5,0.8,4,2,inner_val,5.179,6.726,0.0,46.933,2158.5735999999997,2083.921,24.884199999999996,0.0,24.884199999999996
Florida,Med,0.5,0.8,4,3,inner_val,5.027,5.587,0.0,48.327,2173.5914000000002,2032.8030000000003,34.73226666666666,0.365916,35.09818266666666
Florida,Med,0.5,0.8,4,-1,outer_test,5.166,6.63,0.0,46.653,2286.1099999999997,2076.607,69.83433333333333,0.0,69.83433333333333
